ID,Longitude,Latitude,PO_ID,Cent3_ID,Population,Client_ID,Facility_ID,Min_Cost
56482051,-71430784,41810343,,115,1123,56482051,56481980,2.100969
56482052,-71427608,41805279,,223,1493,56482052,56481981,1.286898
56482053,-71421966,41800405,,318,1497,56482053,56481981,1.145229
56482054,-71420845,41797990,,20,1546,56482054,56481981,0.899323
56482055,-71419254,41795807,,278,1050,56482055,56481981,0.762079
56482056,-71424271,41804291,,479,924,56482056,56481981,1.19006
56482057,-71422622,41803959,,311,1208,56482057,56481981,1.156016
56482058,-71425617,41810804,,242,852,56482058,56481981,1.737233
56482059,-71422497,41809778,,204,674,56482059,56481981,1.536029
56482060,-71415598,41783556,,485,1412,56482060,56481981,1.146589
56482061,-71416793,41791227,,357,1716,56482061,56481981,0.565419
56482062,-71409073,41780858,,317,1239,56482062,56481982,1.505608
56482063,-71408683,41789461,,386,1634,56482063,56481982,0.382837
56482064,-71405834,41791557,,37,1018,56482064,56481982,0.002253
56482065,-71415191,41796821,,326,1287,56482065,56481982,1.005681
56482066,-71417019,41802812,,324,1015,56482066,56481982,1.742071
56482067,-71414661,41799890,,316,684,56482067,56481982,1.435841
56482068,-71409759,41796973,,330,1221,56482068,56481982,0.888583
56482069,-71413296,41803591,,89,913,56482069,56481982,1.746044
56482070,-71416561,41805843,,112,778,56482070,56481981,2.066713
56482071,-71416168,41808546,,401,1055,56482071,56481981,2.146976
56482072,-71410026,41806517,,791,1256,56482072,56481982,1.933833
56482073,-71409481,41800916,,53,1135,56482073,56481982,1.565251
56482074,-71402808,41808468,,754,409,56482074,56481982,1.536614
56482075,-71401008,41789560,,335,1211,56482075,56481982,0.507114
56482076,-71399948,41792576,,574,1289,56482076,56481982,0.628277
56482077,-71394649,41789194,,271,752,56482077,56481982,1.353093
56482078,-71433315,41814224,,408,909,56482078,56481980,1.583617
56482079,-71433159,41818744,,219,1246,56482079,56481980,1.307592
56482080,-71428615,41814168,,5,743,56482080,56481980,1.986416
56482081,-71428066,41819156,,339,796,56482081,56481980,1.966311
56482082,-71429382,41822138,,63,963,56482082,56481980,1.907698
56482083,-71426059,41820925,,113,991,56482083,56481984,1.837478
56482084,-71426327,41824093,,735,1354,56482084,56481984,1.756648
56482085,-71424534,41815076,,286,1300,56482085,56481981,2.157957
56482086,-71424604,41819290,,350,686,56482086,56481984,1.78144
56482087,-71418891,41814838,,166,801,56482087,56481984,1.920662
56482088,-71433849,41831697,,119,1275,56482088,56481984,1.364563
56482089,-71428463,41828993,,701,1646,56482089,56481984,1.270414
56482090,-71426216,41833860,,191,1338,56482090,56481984,0.43242
56482091,-71431068,41838779,,331,1338,56482091,56481984,0.848762
56482092,-71430427,41843854,,289,1773,56482092,56481984,1.564321
56482093,-71427303,41838116,,526,1058,56482093,56481984,0.472677
56482094,-71420963,41834160,,525,1366,56482094,56481984,0.39604
56482095,-71423679,41841316,,122,1765,56482095,56481984,1.287691
56482096,-71420246,41837774,,801,674,56482096,56481984,0.727618
56482097,-71418903,41844631,,676,948,56482097,56481984,1.637294
56482098,-71416240,41812725,,696,1315,56482098,56481984,2.190237
56482099,-71414203,41813926,,319,555,56482099,56481984,2.005016
56482100,-71415809,41819276,,407,1152,56482100,56481984,1.717439
56482101,-71414543,41825901,,480,1622,56482101,56481984,1.232287
56482102,-71410800,41823000,,583,1795,56482102,56481988,1.752676
56482103,-71403656,41823793,,486,2188,56482103,56481988,1.097803
56482104,-71405048,41827903,,302,2754,56482104,56481988,0.643522
56482105,-71412384,41838693,,527,726,56482105,56481984,1.019987
56482106,-71408249,41832256,,124,920,56482106,56481988,1.105952
56482107,-71404682,41832429,,127,995,56482107,56481988,0.583208
56482108,-71407001,41836945,,263,915,56482108,56481988,1.33322
56482109,-71406059,41840324,,529,826,56482109,56481984,1.798699
56482110,-71402214,41838863,,329,928,56482110,56481988,1.390308
56482111,-71404176,41844373,,418,1055,56482111,56481984,2.077089
56482112,-71433967,41849403,,528,1354,56482112,56481984,2.309002
56482113,-71431049,41851068,,308,1111,56482113,56481984,2.490633
56482114,-71427277,41847715,,702,1175,56482114,56481984,1.976209
56482115,-71422767,41845212,,123,1064,56482115,56481984,1.846859
56482116,-71424913,41855575,,765,2042,56482116,56481984,3.190244
56482117,-71416523,41850874,,229,1717,56482117,56481984,2.597377
56482118,-71416355,41854955,,762,941,56482118,56481984,3.107489
56482119,-71415017,41853615,,222,1112,56482119,56481984,2.961146
56482120,-71404410,41849573,,268,635,56482120,56481984,2.322929
56482121,-71400715,41820799,,211,638,56482121,56481988,1.350544
56482122,-71396110,41821159,,128,1110,56482122,56481988,1.508554
56482123,-71394005,41826080,,47,1606,56482123,56481988,1.014455
56482124,-71385837,41826044,,371,1429,56482124,56481988,1.773627
56482125,-71396816,41828720,,814,1425,56482125,56481988,0.506341
56482126,-71399605,41842846,,125,813,56482126,56481988,1.842795
56482127,-71396179,41836921,,531,1700,56482127,56481988,1.38788
56482128,-71394420,41843937,,290,645,56482128,56481988,2.28109
56482129,-71391101,41831921,,291,925,56482129,56481988,1.39722
56482130,-71387779,41828668,,532,738,56482130,56481988,1.553191
56482131,-71388473,41836868,,343,835,56482131,56481988,1.827954
56482132,-71381171,41831700,,599,1382,56482132,56481988,2.115443
56482133,-71380719,41840666,,126,1189,56482133,56481988,2.690593
56482134,-71398327,41845257,,74,757,56482134,56481988,2.217114
56482135,-71398899,41848823,,425,1170,56482135,56481984,2.671692
56482136,-71393901,41850429,,530,882,56482136,56481988,2.974875
56482137,-71394722,41854557,,501,1445,56482137,56481984,3.284796
56482138,-71382810,41848241,,703,1045,56482138,56481988,3.998621
